3643;F;O'Russet's Eileen;BAL n 21;16-06-1990;FD LO 60264;10695;OLH a 24;8471;BAL n 21
3750;F;DK Kristianshøj's E?;SIA n;07-03-1992;FD LO 67099;12604;OSH n;30536;SIA a
3793;F;DK Feles Grata Silver Ysatis Ice;OSH bs 03;13-02-1994;FD RX 9553;15923;OSH b 25;41370;OLH hs 01
3817;F;Corinne Mille Fleur de Lynx;SIA c 21;28-06-1990;FD LO 60459;8856;OSH c;13945;SIA c 21
3856;M;Pirot Woodstock;BSH w 62;...;SVERAK RX 31791;4096;PER w 62;5105;BSH n
3869;F;O'Russet's Edle;OLH n 24;16-06-1990;FD LO 60266;10695;OLH a 24;8471;BAL n 21
3886;M;DK Linsang-Felinae Rancho Lynx;OSH b;14-11-1989;FD LO 57335;15390;OSH b 23;15264;SIA b
3982;F;DK Runciman's Angelique;OSH n;16-05-1996;FD LO 86174;1713;OSH b;36341;SIA a 21
3997;M;Jutlandia's Sunshine;OSH b 24;23-08-1990;FD LO 61123;15313;SIA n;27211;OSH b 24
4004;M;DK White Galla's Black Ink;OSH n;16-07-1990;FD LO 60270;4147;OSH a;11405;SIA w 67
4008;M;Charmeur v. Eisenhammer;OSH c;...;1.DEKZV LO 069612;94;SIA b;2670;OSH b
4009;F;Bonbon v. Eisenhammer;OSH b;...;1.DEKZV LO 059731;86;OSH b;3949;SIA b
4031;F;Hijoy Bonnylass;XSH ns;...;GCCF EX 65270;17704;DRX ns;18810;XSH fs 22
4032;F;Burra van Sheba's Adiba;ABY n;...;NHS AK 54.495;3266;XSH a 23;3935;ABY o
4045;F;Sun Read Anja;SIA n;...;FD LO 28342;9836;SIA n 21;2923;OSH h
4056;M;DK Utopia's blå Cassio;OSH a;05-12-1993;FD LO 74559;21450;OSH d 24;20297;SIA n
4062;M;DK Laxey's Bill;XSH n 03;07-03-1992;FD RX REG 1584;31170;BSH a;27175;MAN n 03 52
4121;F;Allegretto's Xanthippe;SIA n;03-12-1990;FD LO 61601;10818;OSH n 24;8039;OSH c
4147;M;DK White Galla's Blue Fatti;OSH a;24-10-1987;FD LO 49717;8302;SIA a;63686;OSH a
4149;M;Bamse av Myre;NFO d 09 23;...;NRR RX 51439;;;6691;NFO f 09 23
4185;F;Sphinx Ivory;SIA b 21;...;MMOE 19403;31024;OSH b;743;SIA b 21
4228;M;DK Traveller's Bastian Chat;SIA b;...;FD LO 46444;5912;SIA a;25133;OSH b 24
4257;F;Fanny af Xique DK;OSH n;05-09-1987;FD LO 49835;15237;SIA a;11455;OSH b
4265;F;Kira af Xique DK;OSH a;11-03-1990;FD LO 60359;15237;SIA a;4257;OSH n
4266;M;Kehar af Xique DK;OSH a;11-03-1990;FD LO 60360;15237;SIA a;4257;OSH n
4269;F;Bella af Xique DK;SIA c;28-05-1990;FD LO 60363;15237;SIA a;15346;OSH b
