76145;M;Gazzella Nostradamus;BML ns 11;...;CA RX 960983;76143;BML as 11;76144;XSH fs 11
76152;M;B-Cherubino;BML bs 12;...;CA RX 91070204;76148;BML ns 11;76151;XSH ns 11
80184;F;Bi-O-Rex Van Mandingo;DRX n 09;...;FE.R88.RD.NL.01;80179;DRX a;80183;XSH n 09
80876;F;Millwood Mirror Image;BEN n 24;...;GCCF CSREF 309055;82513;BEN n 24;80872;XSH n 24
87151;F;Zauber-Rexe van Sassanieden;DRX f 09;...;NKFV RVT 58.891;87217;DRX e 09 22;87218;XSH ns 09
87712;M;Stella's Odin;BSH a 22;18-03-1983;FD RX 3439;87709;BSH a;87711;XSH a 22
90121;M;DK Beavis Dexter;BUR d;04-11-2001;FD RX 112942;88407;XSH ns 25;75276;BUR f
90122;F;DK Beavis Luna;BUR n;04-11-2001;FD RX 112943;88407;XSH ns 25;75276;BUR f
90757;F;S*Curlicue's Amanda;DRX ds;09-12-1993;SVERAK RX 120873;90738;DRX ds;90756;XSH f 24
90760;F;IDP*Lupinängens Carmencita;DRX n 22;17-06-1988;(SE)SVERAK RX 128781;90758;DRX n 22;90821;XSH w
92540;F;Big Blue's Swaggirl;DRX fs;...;FVK DRX C329-99 K3;92539;XSH ds 22;92535;DRX n
95753;F;Franzi v. Wahrstein;BSH n 33;...;1.DEKZV 203980;95751;BSH a 33;95752;XSH n 33
96518;M;Kitnhuyse Lloyds of London;SPH d 09 32;05-04-1998;TICA COT 040598 003;96520;XSH n 09 32;95428;SPH g 09
97371;M;Honey Bey of Olly's Nest;BSH b;...;NKFV RVT 90.263 EXP;97370;XSH a;97369;BSH n
97373;F;Kelly of Olly's Nest;BSH a 33;...;NKFV RVT 94.104 EXP;97370;XSH a;97372;BSH a 33
97588;F;Millwood Barbie Q;BEN n 24;02-08-1996;GCCF CSREF 393240;83077;BEN n 24;97579;XSH n 24
98290;F;DK Beavis Gerda;BUR n;28-11-2002;FD RX 118554;74442;BUR c;90125;XSH ns 25
