2957;M;Sphinx black Velvet;OSH n;19900711;FD LO 60091;3404;3404;OSH b 24;19225;SIA f
2977;F;Fleuretto fair Megan;SIA b;19881219;FD LO 54025;4603;4603;OSH n;4604;OSH b
3027;M;Perikon 94-97;SIA n;19940321;FD LO 76039;22558;22558;SIA n;17696;SIA n
3028;M;DK Kærbygården's Alvin;SIA a;19911216;FD LO 66116;280;280;SIA a;43727;SIA n
3084;F;og- Mig af Fuga;OSH b 24;19900709;FD LO 60032;71676;71676;OSH ns 24;3211;OSH n
3130;F;DK Ragtime's Tonni Jean;SIA w 67;19890807;FD LO 56542;13864;13864;SIA a;13086;SIA w 67
3141;F;Ødis af Bajang;OSH n;19920825;FD RX 8419;24225;24225;OSH ns;17112;SIA n
3211;F;Gospel af Fuga;OSH n;19880112;FD LO 50093;15348;15348;OSH b;12500;OSH n
3215;M;Stormogulen af Fuga;OSH e;19900717;FD LO 60034;71676;71676;OSH ns 24;28829;OSH f
3229;F;DK Traveller's Romantica;OSH n;19970508;FD LO 90400;48403;48403;OSH n;59857;SIA b
3238;M;San-T-Ree Blues;OSH a;19831106;FD LO 36454;1632;1632;SIA a;15347;OSH b
3254;M;S*Chanteclair's Helios;SIA d;19910904;FD LO 66182;18845;18845;SIA n;722;SIA f 21
3307;M;Tamerlan af Ølsted;SIA b 21;19920211;FD LO 66569;7504;7504;SIA b;15836;OSH b 24
3351;F;Dan-Thai's Kirimon;SIA n;19910906;FD LO 64484;9716;9716;SIA n;8470;SIA n
3358;F;Klingeskov's Psará;SIA b;19900613;FD LO 59780;60684;60684;SIA n;4396;SIA n
3363;M;DK Ragtime's White Bonderøv;SIA w 67;19900422;FD LO 59518;13864;13864;SIA a;13086;SIA w 67
3382;F;Ha-Tikva af Fuga;OSH a;19880121;FD LO 50103;15348;15348;OSH b;1191;OSH a
3383;F;Zalli af Tin-Po;SIA a;19911231;FD LO 66256;10106;10106;SIA a;17906;OSH n
3404;M;DK Traveller's Chess;OSH b 24;19870710;FD LO 47706;31024;31024;OSH b;884;OSH b 24
3416;F;Tulle af Bajang;OSH c;19890606;FD LO 55891;15348;15348;OSH b;15349;OSH b
3417;M;Sphinx Nickname;OSH b 24;19880916;FD LO 53418;31024;31024;OSH b;9194;SIA b 21
3418;F;Origin af Fredenslund;OSH n 24;19770212;FD 1474 K;7777;7777;OSH b;24809;SIA n 21
3426;M;Nissen's Xanadu;OSH n;19901220;FD LO 61847;6260;6260;SIA e;5965;OSH n
3428;M;DK Feles Grata Bacchus;SIA e 21;19901229;FD LO 62291;23141;23141;OSH n 24;21832;SIA g
3433;M;DK Paccard's Billie Boy;OSH b;19900708;FD LO 60098;3417;3417;OSH b 24;3416;OSH c
3434;M;DK Paccard's Backfisch;OSH b;19900708;FD LO 60099;3417;3417;OSH b 24;3416;OSH c
3468;M;Angelica's Sonny-Sweet;SIA b;19920609;FD LO 68368;22495;22495;SIA b;29159;SIA b
3470;M;Misriya's Black Hannibal;OSH n;19890511;FD LO 55308;15397;15397;OSH n 24;26363;OSH n
3485;F;DK Etiq's Joy;SIA n;19880717;FD LO 53045;9836;9836;SIA n 21;706;SIA n
3498;M;Bellamis' Vika;OSH d;19901118;FD LO 61505;7490;7490;SIA d;6367;OSH f
3534;F;Coco 91-73;SIA n;19910330;FD LO 62924;280;280;SIA a;43727;SIA n
3544;M;Jawhara's Leopold;OSH c;19900803;FD RX 6770;1364;1364;BAL c;19144;OSH c
3596;F;DK Haslund's Pippi;OSH c 24;19900506;FD LO 59500;11746;11746;OSH b 24;25705;OSH b 24
3637;M;Belissimo af Xique DK;SIA c;19900528;FD LO 60364;15237;15237;SIA a;15346;OSH b
3643;F;O'Russet's Eileen;BAL n 21;19900616;FD LO 60264;10695;10695;OLH a 24;8471;BAL n 21
3750;F;DK Kristianshøj's E?;SIA n;19920307;FD LO 67099;12604;12604;OSH n;30536;SIA a
3774;F;Nissen's Ubrina;SIA n;19900713;FD LO 60469;4615;4615;SIA n;15274;SIA c
3776;F;Mia Seerup B.K. DK;SIA g;19911216;FD LO 66103;18770;18770;SIA d;18771;SIA n
3793;F;DK Feles Grata Silver Ysatis Ice;OSH bs 03;19940213;FD RX 9553;15923;15923;OSH b 25;41370;OLH hs 01
3808;M;Kirkhøj's Jackpot;SIA n;19890824;FD LO 57186;15246;15246;SIA a;15260;SIA b
3814;M;Winnetou's Creme Kevin;SIA e;19921102;FD LO 69665;20413;20413;SIA a 21;53403;SIA h
3817;F;Corinne Mille Fleur de Lynx;SIA c 21;19900628;FD LO 60459;8856;8856;OSH c;13945;SIA c 21
3868;F;Isa Braun Brimiso;SIA n;19880116;FD LO 50286;17991;17991;SIA n;12038;SIA b
3869;F;O'Russet's Edle;OLH n 24;19900616;FD LO 60266;10695;10695;OLH a 24;8471;BAL n 21
3870;F;DK Haslund's Zasja;OSH b 24;19900506;FD LO 59503;11746;11746;OSH b 24;25705;OSH b 24
3884;F;Lina Braun Brimiso;SIA n;19890513;FD LO 54838;11335;11335;SIA n;12038;SIA b
3886;M;DK Linsang-Felinae Rancho Lynx;OSH b;19891114;FD LO 57335;15390;15390;OSH b 23;15264;SIA b
3893;M;Dan-Thai's Hercule Poirot;SIA n;19900618;FD LO 60258;6237;6237;SIA n;20432;SIA n 21
3894;F;Dan-Thai's Haute Couture;SIA n;19900618;FD LO 60259;6237;6237;SIA n;20432;SIA n 21
3970;M;DK Misbehavin' Gonzo;OSH n;19900904;FD LO 60751;20202;20202;OSH d;20203;OSH f
3982;F;DK Runciman's Angelique;OSH n;19960516;FD LO 86174;1713;1713;OSH b;36341;SIA a 21
3984;F;Likita Saba;SIA n;19901021;FD LO 60956;1975;1975;SIA n;19536;SIA c
3997;M;Jutlandia's Sunshine;OSH b 24;19900823;FD LO 61123;15313;15313;SIA n;27211;OSH b 24
4004;M;DK White Galla's Black Ink;OSH n;19900716;FD LO 60270;4147;4147;OSH a;11405;SIA w 67
4056;M;DK Utopia's blå Cassio;OSH a;19931205;FD LO 74559;21450;21450;OSH d 24;20297;SIA n
4063;M;Blue Felicity's Milo;SIA d;19910820;FD LO 64629;7490;7490;SIA d;15700;SIA f
4121;F;Allegretto's Xanthippe;SIA n;19901203;FD LO 61601;10818;10818;OSH n 24;8039;OSH c
4136;M;Santai Choco Ferdinand;SIA b;19910405;FD LO 62479;1975;1975;SIA n;9546;SIA n
4147;M;DK White Galla's Blue Fatti;OSH a;19871024;FD LO 49717;8302;8302;SIA a;63686;OSH a
4198;M;Misriya's Blue Jerry;OSH a 23;19900406;FD LO 58711;9658;9658;OSH a 23;38277;OSH a 24
4210;M;DK Kærbygården's Archie;SIA a;19911216;FD LO 66117;280;280;SIA a;43727;SIA n
4212;F;Sphinx Polkadot;OSH b 24;19920306;FD LO 67046;47437;47437;OSH b;16494;OSH b 24
4232;F;DK Linsang-Felinae Lybica;OSH b;19900828;FD LO 61119;3886;3886;OSH b;10918;OSH b
4257;F;Fanny af Xique DK;OSH n;19870905;FD LO 49835;15237;15237;SIA a;11455;OSH b
4263;F;Sheena af Steppenwolf;SIA n;19830408;FD LO 34297;7966;7966;SIA n;4262;SIA c
4265;F;Kira af Xique DK;OSH a;19900311;FD LO 60359;15237;15237;SIA a;4257;OSH n
