97034;F;Angtini's Sweet Cinnamon Swirl;MCO f 22;12-08-1990;CFA 1787-651277 V0892;64234;MCO d 22;;
97076;M;Peyorsia Twilight Zone;SIA e;...;GCCF NS 305655;31287;SIA e;;
97079;F;Marilane Demelza;SIA n;...;GCCF NS 304663;20449;SIA n;;
97292;M;Bambino Coronet;BUR b;...;CCCA COAWA (W) 1778W92;919;BUR b;;
97293;F;Roellen Moniques Image;BUR c;...;CCCA COAWA (W) 1659W91;72280;BUR a;;
97368;F;Eva van het Geestmerambacht;BSH a;...;NCT 926130;67149;BSH a;;
97384;M;Aragorn von der Heidhörn;MCO ns;...;DRV 014574-LH Bd. X II;74694;MCO n;;
97518;F;Tigerflower Kiana of Lightdancer;ABY p;25-07-1994;CFA 0387-952360;75602;ABY p;;
97639;F;Ulanga Kashira Minx;BEN n 24;18-03-1994;TICA COT 031894 028;97631;BEN n 24;;
97983;F;Monashees Earth & Fire;MCO f 22;...;SDRV 05006522;56144;MCO d 22;;
98583;F;Honkytonk Seraway Lass;BSH c;...;GCCF CSEXP 238971;98589;BSH c;;
98741;M;Purrkin's Leroy;SOM o;...;BEC 2103739;68119;SOM n;;
98879;M;Lillycoon's Sass Maor;MCO n 23;...;ANFI LO 38486;2109;MCO a 23;;
98966;F;Viola v. Wahrberg;BSH ay 11;...;1.DEKZV 182139;98964;BSH ny 11;;
99162;F;Sabina;BSH a;...;SVERAK LO 117872;110902;BSH a;;
99461;M;Silver Lord Silvester van Breedveld;BSH ns 24;...;NCT A967568;96269;BSH ny 24;;
99870;F;S*Pysida's Onyx;NFO as 09;08-02-1997;(SE)SVERAK LO 143334;59527;NFO n 09 22;;
99883;F;East Exotic's Go Go Girl of Katyiah;PER f 03;...;CFA 0149-992471;99882;PER d 03;;
99900;F;Kassiopaya of Mount Mac Kinley;MCO n 09;...;1.DEKZV 200236;22377;MCO ns 09 23;;
99969;F;Dancecats Sweet-Charity;EXO f 22;...;CFA 7787-772930;39429;EXO d 22;;
100061;M;Lintis Maximillian;SIA n;...;GCCF NS 186971;18420;SIA n;;
100199;F;Ocean Breeze's Onyx of Silvercoon;MCO n;...;IMCCC oMC170994-RIEX-11661;100198;MCO n 09;;
100538;F;La Paloma's Cinzia;PER d;...;FE.L87.PE.330.1;10863;PER d 33;;
100668;F;Heritage Catalina;BEN n 24;16-07-1994;TICA SBT 071694 020;75931;BEN n 24;;
100673;M;Starbengal Emilio Sheen;BEN n 24;22-05-1994;TICA SBT 052294 009;83748;BEN n 24;;
100705;F;Mona-Lisa's Aida;SBI a;...;1.DEKZV 144691;21442;SBI a;;
101338;F;Shanna's Silver Shenandoah;MCO fs 09 22;...;FE.L93.MCO.022.4;95413;MCO d 22;;
101362;F;Johaelan's Christiania;PER f;...;CFA 0147-1150784 V1098;90476;PER w 62;;
102751;M;Lihnis Puf Larri Ex Unikat;PER e;...;AR PER/96-5491;102750;PER e;;
102753;F;Ofna Moros de Enicuz;PER d;...;ARCCA LO PER/97-5392;102752;PER w 62;;
102964;M;;...;...;Ukendt / Unknown;102964;...;102965;...
102965;F;;...;...;Ukendt /Unknown;102964;...;102965;...
103343;F;Gwendolyn av Thann;NFO f 22;...;SDRV 05004533;104140;NFO a 09 22;;
104210;F;The Dorsai's Rainbow Warrior;MCO f 09;...;AICC 04003955;84663;MCO d 09;;
104339;F;Alifbay Kathryn Hepburn;BEN n 24;03-10-1994;TICA SBT 100394 037;83748;BEN n 24;;
104397;M;Salemcoon Sabbath of Cloistercoon;MCO n;26-10-1996;CFA 1708-113935;64245;MCO n 22;;
104398;F;Oakbear's Menorah of Cloistercoon;MCO g 09;...;CFA 1721-1089739;73791;MCO n;;
104727;F;Alina Alisa Allegri;EXO f;07-03-1994;CFA 7747-1046761 V0696;89385;EXO a;;
104768;M;Mikanmi Charlie Brown;PER b;...;GCCF 027813;104762;PER b;;
104800;F;Tauron's Ellena, DM;NFO as;...;(SE)SNRF NS 4310;86476;NFO n 09 22;;
104804;F;S*Highlander's Alizia;NFO ns 09 23;...;(SE)SVERAK RX 126041;40002;NFO as;;
104904;F;Cactusway's Lucky Lottery of Macska;PER h 33;...;CFA 3249-498941 V0789;12379;PER b 33;;
104942;F;Chantarabe's Designer Genes;PER ns 22 62;27-10-1991;CFA 0137-749941 V1292;80633;PER ns 22 62;;
105179;M;Callyn's Mystif-Eyes of Cardinay;PER e 33;...;CFA 3296-638718 V0991;74631;PER a 33;;
105180;F;Callyn Spring Cleaning of Cardinay;PER e 33;...;CFA 3297-719666 V1292;74629;PER e;;
