142390;F;Söviken's Rebecka;NFO f 09;...;FHK SL 2000-41;;;96419;NFO f 09
143490;F;Joss-Karma Maripeq Ms Nova;SBI a;...;UN.L05.SBI.040.2;;;143489;SBI n
144048;F;Acadiapark's Kerrygold;MCO f 22;...;ÖVEK LO 9810601;;;80094;MCO n 09 22
144091;F;Woodwitchs Whitney-Whoppi;MCO n 09 23;15-03-2001;(DE)TCC ZBT MC 150301 02;;;144090;MCO f 22
144486;M;Ryny De L'Iris Doree*F;...;...;WCF LOISCC 69057;144503;...;144504;...
144496;F;Angie von Eksoer;SBI f;...;1.DEKZV 240665;144494;...;144495;SBI d
144507;F;Kintamani Kim Novak;SBI a;...;FFH LO 64577;144486;...;144506;SBI b
144701;M;Tropikoons Frostfire;MCO ds 09 22;...;CFA 9766-1445381;;;156219;MCO fs 09
145023;M;Overlord Nutchezz;MCO n 22;...;FBK MC 769;144529;...;115850;MCO n
145115;M;Jatulmejubad Prometeu;MCO ns;...;Kat ID: 297726;;;145094;MCO fs 23
146747;M;Yankee Cats Enzo Ferrari;MCO es;...;WACC RVDE 10123172;;;132486;MCO f 22
148355;M;I*Faerie Kiss Kubla Khan;SBI n;...;ANFI LO 77548;144484;...;148353;SBI c
150992;M;Langstteich's P'Melcome;MCO es;...;GCCF CS 676299;;;151319;MCO as 09
150993;F;Moonrakers Impossible Dream;MCO f 09 21;...;GCCF CS 518804;;;151318;MCO n 09 23
152006;F;Shamanshag's Breaking Hearts;MCO d 23;...;WACC RVDE 01052612;;;102274;MCO f 23
152707;M;Super-Star's Monty;MCO n 09 23;...;(D)DEKZV LO 276820;;;130309;MCO f 09 23
154108;M;Xenon vom Gohlishof;MCO a 22;...;Felina 09074764;;;154107;MCO n 23
154726;M;Devil's Red*I;SBI d;...;FFH LO 56609;144484;...;154723;SBI f
158043;M;Saika Shams Starlight;ABY a;03-12-2003;CFA 0384-1477853 V0706;158042;...;158041;ABY n
158340;M;Peach'N Cream De Lanleya;PER es 11;...;LOOF L 1758;;;158333;PER es 11
158343;M;Sprazzo D'Ingegno De Lanleya;PER ns 23 62;...;LOOF 2002.3835;;;158337;PER f
158403;F;B/LA Red Queen de Cirobolo-E;PER d 22;...;ASFE LO 19865;;;158398;PER e
159167;F;Van Dyke Abi Aurora;ABY n;...;CFA 0381-007659 V111;;;2870;ABY n
159168;M;Van Dyke Abi Abdel;ABY n;...;CFA 0380-004881 V110;;;2872;ABY n
160187;F;Irena Santa Beger;CRX g 23;...;AR CRX/93-94;;;45385;CRX as 23
162755;F;Phenomene's Vox Populi of Lalima;ABY n;16-07-2004;CFA 0361-1534784 V1005;;;162754;ABY n
164547;M;Samurai;DRX w 62;16-03-2002;Kat ID: 317198;;;140379;DRX f
165417;M;DK Why Forget I love you;BUR b;14-01-2009;FD LO 156105;;;157736;BUR b
165418;F;DK Why Forget Isis;BUR b;14-01-2009;FD LO 156106;;;157736;BUR b
165824;M;DK DetVarKattens Eucalyptus;BUR e;29-12-2008;FD LO 156255;;;161612;BUR j
165825;M;DK DetVarKattens Edanthe;BUR e;29-12-2008;FD LO 156256;;;161612;BUR j
165826;M;DK DetVarKattens Ensete;BUR b;29-12-2008;FD LO 156257;;;161612;BUR j
166190;F;Q-T-Curls T/F XL Titanium;DRX fs;21-08-2007;Kat ID: 318841;;;166090;DRX n
168163;M;Nevaska Sir Gandalf;DRX a 03;...;NZCF OS 11933A;;;168196;DRX a 03
169764;M;Belfry Silver Legasy;SPH n 09 21;...;TICA AOP 061199 025;;;169763;SPH f 09
171737;M;Wariho's Maverick;MCO w;...;(DE)DEKZV LO 277638;;;103908;MCO w
172194;F;DK Wehnert's Vega;EUR n 22;12-05-2010;(DK)FD RX 200798(RR);102964;...;163910;EUR n 22
172574;M;Sir Edmond Alexander-Fred;EXO a 22;...;REF-AB-155/PER/99;;;174892;EXO f 24
174399;F;FIN*Cyrleyn Athene;CRX f 09;...;(FI)SRK LO 27917;;;165303;CRX g 33
175331;M;Spock of Sunder Cat;MCO n 22;...;IRCC 00078 Bd. III;;;107754;MCO n 22
176029;M;Aighan Maxi;KBL n;...;(RUS)SFF-2/93/00361;;;187899;KBL n
176748;M;Laki's Lazarus;BUR n;...;CFA 1400-1476850;;;176738;BUR n
177067;M;Silver Ramses van Elsdieck;BSH ns 22 64;...;NCT 2003-7654;;;177068;BSH ns 22 64
179488;F;Ragalong Vanessa;RAG a 03;...;TICA SBT 080399 010;;;179487;RAG n 03
182690;F;Otta Al Afrodita Jar;BSH ns 22 62;...;(LV)MC LO 2494;;;182684;BSH a
183657;M;The Catwalk Lucius;PER n;...;CFA 0108-1522841;;;183861;PER w 62
186412;M;DK Wehnert's Søren Sko;EUR n 22;01-06-2012;(DK)FD RX 211045(RR);102964;...;172194;EUR n 22
186413;F;DK Wehnert's Blondie;EUR a;01-06-2012;(DK)FD RX 211046(RR);102964;...;172194;EUR n 22
186682;M;Sirrahcoon's Bailey;MCO e 09 22;...;(PL)FPL LO 6438;;;186681;MCO f
194255;F;Lachetals Bonny;MCO f 09 22;...;GCCF CS 583611;194254;...;126326;MCO ds 09 22
202375;M;Joyful Envoy of Haeven from British Collec;BSH e 33;...;BPKK 1243/3.2-4;;;201798;BSH g 24
205824;F;Abby SvetlaZar;DSP f 09;...;KC 166/2010-DSX;;;205823;DSP a 09 33
212888;F;Thamos Gorgonzola;ABY a;...;(NO)NRR LO 138416;;;92569;ABY a
